"","model_name","round","target","skill","Q5","Q95"
"1","JHU_IDD-CovidSP","1","inc case",0.592861667858067,0.566071518642531,0.623311190253906
"2","Karlen-pypm","1","inc case",1.72138987659657,1.66317937264142,1.76542350670409
"3","MOBS_NEU-GLEAM_COVID","1","inc case",0.689469263024606,0.684456295415678,0.695809825661493
"4","USC-SIkJalpha","1","inc case",1.00023717456443,0.994471375036501,1.0305475489645
"5","UVA-adaptive","1","inc case",1.90984374001374,1.87050269887082,1.93993128591905
"6","Ensemble_LOP","1","inc case",0.743963531426994,0.732347589560591,0.754643304770589
"7","JHU_IDD-CovidSP","1","inc death",0.852054306542899,0.833467684981077,0.872465193000593
"8","Karlen-pypm","1","inc death",0.635993282957636,0.626161932636246,0.645533733883655
"9","MOBS_NEU-GLEAM_COVID","1","inc death",0.995275937885271,0.968318637000676,1.03198083797165
"10","USC-SIkJalpha","1","inc death",2.74189027384762,2.66292190572348,2.74928345650546
"11","UVA-adaptive","1","inc death",1.03068646179265,1.01805273058386,1.05000519113369
"12","Ensemble_LOP","1","inc death",0.656084908608389,0.652702568340017,0.662842615277023
"13","Karlen-pypm","1","inc hosp",1.37557679092344,1.34755735116043,1.39525837342151
"14","MOBS_NEU-GLEAM_COVID","1","inc hosp",0.772717832253165,0.750015044587407,0.79772160715852
"15","USC-SIkJalpha","1","inc hosp",0.492727369513861,0.492727369513861,0.493249184873091
"16","UVA-adaptive","1","inc hosp",1.77106966264711,1.7610109668348,1.77106966264711
"17","Ensemble_LOP","1","inc hosp",1.07808224827588,1.06539602543099,1.10496451830847
"18","JHU_IDD-CovidSP","11","inc case",0.729858845435089,0.710490485812269,0.749662518302791
"19","MOBS_NEU-GLEAM_COVID","11","inc case",1.2097579962709,1.16477948105042,1.2298192471773
"20","UNCC-hierbin","11","inc case",1.16229813777847,1.13239722511771,1.20514439248391
"21","USC-SIkJalpha","11","inc case",1.21547742167134,1.17398970803467,1.24830194072352
"22","UVA-adaptive","11","inc case",1.26219695392239,1.24503488156283,1.28906742698666
"23","UVA-EpiHiper","11","inc case",1.60671129127244,1.5203607058867,1.74286621716174
"24","Ensemble_LOP","11","inc case",0.395305822754615,0.392207194983713,0.398043159543248
"25","JHU_IDD-CovidSP","11","inc death",1.19950870849954,1.11844971474245,1.28180512535854
"26","MOBS_NEU-GLEAM_COVID","11","inc death",0.629678844883374,0.610145517965322,0.659369489523889
"27","UNCC-hierbin","11","inc death",0.9787492633114,0.958347806010922,0.99839403172234
"28","USC-SIkJalpha","11","inc death",2.44545492680885,2.241515953654,2.56939480853927
"29","UVA-adaptive","11","inc death",1.0484068757262,1.02974757707964,1.06402744270088
"30","UVA-EpiHiper","11","inc death",1.28201346680009,1.25573943008157,1.31091964163703
"31","Ensemble_LOP","11","inc death",0.411551257975959,0.406257330197982,0.419002639342303
"32","JHU_IDD-CovidSP","11","inc hosp",1.38006782113032,1.27188673830554,1.49585532714144
"33","MOBS_NEU-GLEAM_COVID","11","inc hosp",0.673125665330358,0.657905995185007,0.689044780837432
"34","UNCC-hierbin","11","inc hosp",0.82839431988893,0.775863797200771,0.874149963576794
"35","USC-SIkJalpha","11","inc hosp",2.45572856849659,2.25546128793412,2.58274740288596
"36","UVA-adaptive","11","inc hosp",0.686602114935872,0.671397540785615,0.70409069079763
"37","UVA-EpiHiper","11","inc hosp",2.20070160446962,2.04309617067404,2.35126055076593
"38","Ensemble_LOP","11","inc hosp",0.350202827818336,0.34634417959363,0.352878132655013
"39","JHU_IDD-CovidSP","12","inc case",0.641900364714462,0.628291297663569,0.653111723045804
"40","MOBS_NEU-GLEAM_COVID","12","inc case",0.481814849211294,0.476435360651864,0.484649696638845
"41","UNCC-hierbin","12","inc case",1.06479800269638,1.01742748863481,1.14812765931947
