"","scenario_id","round","model_name","target","skill"
"1","B-2020-12-22",1,"Ensemble_LOP_untrimmed","inc case",1.11562920617617
"2","C-2020-12-22",1,"Ensemble_LOP_untrimmed","inc case",1.24008894016718
"3","D-2020-12-22",1,"Ensemble_LOP_untrimmed","inc case",1.89770703022542
"4","A-2020-12-22",1,"Ensemble_LOP_untrimmed","inc case",0.38088873128466
"5","B-2020-12-22",1,"Ensemble_LOP","inc case",1.15888654868629
"6","C-2020-12-22",1,"Ensemble_LOP","inc case",1.40416744669007
"7","D-2020-12-22",1,"Ensemble_LOP","inc case",1.97655546906626
"8","A-2020-12-22",1,"Ensemble_LOP","inc case",0.310907480165981
"9","B-2020-12-22",1,"Ensemble","inc case",1.17260941293116
"10","C-2020-12-22",1,"Ensemble","inc case",1.44137374881474
"11","D-2020-12-22",1,"Ensemble","inc case",2.20290534140634
"12","A-2020-12-22",1,"Ensemble","inc case",0.26858031558071
"13","B-2020-12-22",1,"JHU_IDD-CovidSP","inc case",1.10072626996979
"14","C-2020-12-22",1,"JHU_IDD-CovidSP","inc case",1.16244378416185
"15","D-2020-12-22",1,"JHU_IDD-CovidSP","inc case",0.659019194671195
"16","A-2020-12-22",1,"JHU_IDD-CovidSP","inc case",1.18590703357375
"17","B-2020-12-22",1,"Karlen-pypm","inc case",1.19578814704368
"18","C-2020-12-22",1,"Karlen-pypm","inc case",1.0475096919617
"19","D-2020-12-22",1,"Karlen-pypm","inc case",1.88963808524094
"20","A-2020-12-22",1,"Karlen-pypm","inc case",0.422482838500004
"21","B-2020-12-22",1,"MOBS_NEU-GLEAM_COVID","inc case",1.20892840348253
"22","C-2020-12-22",1,"MOBS_NEU-GLEAM_COVID","inc case",1.66326173733164
"23","D-2020-12-22",1,"MOBS_NEU-GLEAM_COVID","inc case",1.55264556300188
"24","A-2020-12-22",1,"MOBS_NEU-GLEAM_COVID","inc case",0.32030704821719
"25","B-2020-12-22",1,"USC-SIkJalpha","inc case",0.6436706432775
"26","C-2020-12-22",1,"USC-SIkJalpha","inc case",0.958447688941852
"27","D-2020-12-22",1,"USC-SIkJalpha","inc case",4.0815193094591
"28","A-2020-12-22",1,"USC-SIkJalpha","inc case",0.397142191377593
"29","C-2020-12-22",1,"UVA-adaptive","inc case",1.42868567483097
"30","B-2020-12-22",1,"UVA-adaptive","inc case",1.15546382776182
"31","A-2020-12-22",1,"UVA-adaptive","inc case",0.307169247645726
"32","D-2020-12-22",1,"UVA-adaptive","inc case",1.97210130995575
"33","B-2020-12-22",1,"Ensemble_LOP_untrimmed","inc death",1.01364078105988
"34","C-2020-12-22",1,"Ensemble_LOP_untrimmed","inc death",1.0072175573514
"35","D-2020-12-22",1,"Ensemble_LOP_untrimmed","inc death",2.40645903328649
"36","A-2020-12-22",1,"Ensemble_LOP_untrimmed","inc death",0.407018514342217
"37","B-2020-12-22",1,"Ensemble_LOP","inc death",1.07882765862877
"38","C-2020-12-22",1,"Ensemble_LOP","inc death",1.04012755296691
"39","D-2020-12-22",1,"Ensemble_LOP","inc death",2.53489332263947
"40","A-2020-12-22",1,"Ensemble_LOP","inc death",0.35156176762262
"41","B-2020-12-22",1,"Ensemble","inc death",1.14202878025811
"42","C-2020-12-22",1,"Ensemble","inc death",1.02312291680755
"43","D-2020-12-22",1,"Ensemble","inc death",2.62251711091371
"44","A-2020-12-22",1,"Ensemble","inc death",0.326344883655201
"45","B-2020-12-22",1,"JHU_IDD-CovidSP","inc death",1.05163052281448
"46","C-2020-12-22",1,"JHU_IDD-CovidSP","inc death",1.0973954723651
"47","D-2020-12-22",1,"JHU_IDD-CovidSP","inc death",0.729356022461264
"48","A-2020-12-22",1,"JHU_IDD-CovidSP","inc death",1.18804825257744
"49","B-2020-12-22",1,"Karlen-pypm","inc death",1.1604771184046
"50","C-2020-12-22",1,"Karlen-pypm","inc death",0.787086862999892
"51","D-2020-12-22",1,"Karlen-pypm","inc death",4.55285827012748
"52","A-2020-12-22",1,"Karlen-pypm","inc death",0.240467630228828
