targ,model_name,location,A,B,C,D,pctchange_BA,pctchange_DC
case,CU-AGE-ST,01,9154,8981,10521,10633,-0.01889884203626835,0.010645375914837052
case,CU-AGE-ST,02,7581,7438,15200,15864,-0.018862946840786154,0.04368421052631577
case,CU-AGE-ST,04,33130,32095,62851,65854,-0.031240567461515267,0.04777966937678002
case,CU-AGE-ST,05,1188,1178,1260,1267,-0.008417508417508435,0.005555555555555536
case,CU-AGE-ST,06,672306,792102,1682440,1905054,0.1781867185478041,0.132316159863056
case,CU-AGE-ST,08,20815,21585,55357,59799,0.03699255344703345,0.08024278772332316
case,CU-AGE-ST,09,126975,135271,199207,201242,0.06533569600315015,0.01021550447524433
case,CU-AGE-ST,10,1209,1211,1628,1672,0.0016542597187758634,0.027027027027026973
case,CU-AGE-ST,11,16321,16521,28556,28669,0.012254151093682886,0.003957136853901089
case,CU-AGE-ST,12,58566,59553,67337,69075,0.01685278147730762,0.025810475667166655
case,CU-AGE-ST,13,31089,30621,41545,42293,-0.015053555920100381,0.018004573354194253
case,CU-AGE-ST,15,21451,21724,33937,33915,0.012726679408885389,-6.482600111972214e-4
case,CU-AGE-ST,16,14085,13773,21753,22226,-0.022151224707135264,0.021744127246816625
case,CU-AGE-ST,17,119933,125885,263596,274770,0.04962770880408218,0.04239062808236849
case,CU-AGE-ST,18,19498,19157,30627,31444,-0.01748897322802334,0.026675808926764022
case,CU-AGE-ST,19,26969,26311,48443,49978,-0.024398383329007345,0.03168672460417388
case,CU-AGE-ST,20,11881,11580,19621,20412,-0.02533456779732346,0.04031394933999288
case,CU-AGE-ST,21,10719,10808,12510,12808,0.008303013340796639,0.023820943245403736
case,CU-AGE-ST,22,10598,10397,35312,37411,-0.018965842611813555,0.0594415496148617
case,CU-AGE-ST,23,20300,21004,38981,38963,0.03467980295566497,-4.617634232061407e-4
case,CU-AGE-ST,24,72194,71643,172730,176209,-0.0076322132033133094,0.020141260927458937
case,CU-AGE-ST,25,144707,146188,248332.99999999604,246078.99999999604,0.01023447379877962,-0.009076522250365593
case,CU-AGE-ST,26,136596,134351,268345,273674,-0.016435327535213373,0.019858763904675003
case,CU-AGE-ST,27,58013,57518,85575,87453,-0.008532570285970431,0.02194566170026291
case,CU-AGE-ST,28,1829,1811,2008,2031,-0.009841443411700346,0.011454183266932372
case,CU-AGE-ST,29,38541,38081,92494,96981,-0.011935341584286885,0.048511254784094016
case,CU-AGE-ST,30,7251,7073,13182,13682,-0.024548338160253813,0.03793051130329239
case,CU-AGE-ST,31,13852.00000000003,13481.00000000003,24301.00000000003,25117.00000000003,-0.026783136009240538,0.03357886506728125
case,CU-AGE-ST,32,24447,24672,59774,64348,0.00920358326174986,0.07652156455984205
case,CU-AGE-ST,33,35559,36055,56584,56767,0.013948648724654733,0.003234129789339679
case,CU-AGE-ST,34,130278,133253,262977,262917,0.022835781943228994,-2.2815683500843065e-4
case,CU-AGE-ST,35,13831,20113,46557,69516,0.4541970934856481,0.4931374444229655
case,CU-AGE-ST,36,124572,126690,220794,228682,0.017002215586167102,0.0357256084857378
case,CU-AGE-ST,37,67944,67758,92134,94686,-0.0027375485694101087,0.02769878655002489
case,CU-AGE-ST,38,2083,2012,3736,3856,-0.03408545367258764,0.032119914346895095
case,CU-AGE-ST,39,69197,68647,80574,81436,-0.0079483214590228,0.010698240127088088
case,CU-AGE-ST,40,12924,12657,17846,18240,-0.020659238625812426,0.02207777653255638
case,CU-AGE-ST,41,52890,53699,92168,94824,0.01529589714501789,0.028816942973700188
case,CU-AGE-ST,42,98881,102445,145545,147875,0.03604332480456307,0.016008794530901094
case,CU-AGE-ST,44,9943,10163,17954,18178,0.022126118877602297,0.012476328394786629
case,CU-AGE-ST,45,13905,13716,19013,19296,-0.013592233009708687,0.014884552674485851
case,CU-AGE-ST,46,1252,1197,1999,2094,-0.04392971246006394,0.04752376188094054
case,CU-AGE-ST,47,9201,9071,9860,9896,-0.01412889903271386,0.0036511156186611604
case,CU-AGE-ST,48,194725,199390,378695,403436,0.023956862241622856,0.06533225947002208
case,CU-AGE-ST,49,61219,63014,111304,125794,0.029320962446299337,0.1301840005750019
case,CU-AGE-ST,50,11535,12121,26875,26880,0.05080190723883837,1.8604651162790198e-4
case,CU-AGE-ST,51,84730,87020,193244,200973,0.027027027027026973,0.03999606714826842
case,CU-AGE-ST,53,83719,89334,210874,218077,0.0670696018824879,0.03415783832999808
case,CU-AGE-ST,54,7484,7386,8540,8789,-0.013094601817210005,0.02915690866510534
case,CU-AGE-ST,55,58959,57284,110505,113123,-0.02840957275394762,0.023691235690692647
case,CU-AGE-ST,56,3212,3117,5874,6076,-0.029576587795765885,0.034388832141641235
case,CU-AGE-ST,US,2882470,3040706,5756249,6117786,0.054895974632866995,0.06280774163869562
case,Ensemble,01,5045.600842719665,2281.676627445151,49339.54679661221,48953.66307793453,-0.5477889158161611,-0.007820982228887718
case,Ensemble,02,21207.082897127097,23268.566868657857,25931.917741902507,30559.739783307363,0.0972073331127512,0.17846046279588945
case,Ensemble,04,32428.546677648555,31191.546832152177,73426.17117282981,76010.67046344513,-0.03814539879916923,0.035198611739293284
case,Ensemble,05,16027.846853568219,10510.875850667595,23216.927509524918,26430.5466401655,-0.34421161203398953,0.1384170721695268
case,Ensemble,06,381043.2706260821,371096.5771898357,572493.2027454097,630892.9267581906,-0.026103842274666667,0.10200946270230493
case,Ensemble,08,68170.70478132786,80783.21483328717,174086.19664147135,245685.94226386282,0.18501363734490694,0.4112890453333895
case,Ensemble,09,48101.636987937905,56723.63617261982,67278.3261824635,124500.8602641123,0.1792454420385734,0.8505344488871098
case,Ensemble,10,14690.32359354553,14238,19593.82280544899,23270.864842729236,-0.03079058066115492,0.1876633301112467
case,Ensemble,11,10165.612228056249,10185.849277124318,18703.73757698141,23420.164783084423,0.001990735886247652,0.25216495829729224
case,Ensemble,12,67245.23809754569,69649.85300068418,100425.7078829389,123876.10600218503,0.03575888748658107,0.23350991109349262
case,Ensemble,13,111439.22356586088,107547.43703833618,235976.7704834249,234108.48376641818,-0.03492295085154329,-0.007917248435849511
case,Ensemble,15,18150.800000000003,20040.949999999997,37637.49414779399,43933.95,0.10413590585538901,0.16729211109223274
case,Ensemble,16,46101.77239370771,50827.27283823292,65890.73902992008,72204.238652192,0.10250149179015478,0.09581770845528159
case,Ensemble,17,109397.75,115563.75,234801.5,265108.25,0.05636313361106615,0.12907391988552042
case,Ensemble,18,31798.445117112948,37800,252384.5,260280,0.18873736941487107,0.03128361686236669
case,Ensemble,19,51214.92652248347,53129.16716834949,112007,113284,0.037376616073551805,0.011401073147214058
case,Ensemble,20,28509.5,28945.5,89138,98917,0.015293147898069126,0.109706298099576
case,Ensemble,21,28628.84248632274,29412.758400606806,89081.68918968982,96401.40187031613,0.027382033159691233,0.08216854380746841
case,Ensemble,22,22013.255499613937,22178.198586553102,37839.585728853126,43641.29503877461,0.0074928984012410105,0.15332380622490827
case,Ensemble,23,13057.737382969994,21003.398965617,39057.699358993006,39596.944084617004,0.6085021738153353,0.013806361728262884
case,Ensemble,24,42081,45830,54077,61046,0.0890900881633041,0.12887179392347958
case,Ensemble,25,130903.29037754994,146312.0764367216,210225.86363636004,283374.29312236,0.11771122035763804,0.3479516184199347
case,Ensemble,26,131547.5,128809.5,262846.5,268201.5,-0.020813774492103643,0.020373107498102394
case,Ensemble,27,82191.52072729392,80791.09485363576,150403.71561634366,186109.1830888826,-0.0170385687144623,0.2373975092717655
case,Ensemble,28,11542.384631876193,14901.830169815104,17399.66631809593,24879.95904039801,0.2910529881893946,0.4299101250305277
case,Ensemble,29,56927.69195609132,59150.303807824035,109668.89050056878,116958.85516111669,0.03904271849712493,0.06647249395223986
case,Ensemble,30,22365.992235694546,23156.20253441119,29240.00936357479,34512.944875599176,0.035330884960941944,0.18033289409931075
case,Ensemble,31,25708.328161455924,23060.147864362574,40101.033198569436,49879.779597376124,-0.10300865464537379,0.2438527294392887
case,Ensemble,32,19259.5,19951,41553,46129,0.03590435888782162,0.11012441941616724
case,Ensemble,33,28802.993387241237,28734.321303807432,72696.71577959874,75989.90379732865,-0.0023841995347686495,0.04530036855742092
case,Ensemble,34,140058.85826388,176341.74259457504,243490.7198001428,282164.19359948393,0.2590545487835958,0.15882935428128153
case,Ensemble,35,10216.989225806552,10730.251850253699,38755.43258700537,52272.261624598876,0.050236191220670356,0.34877249808135735
case,Ensemble,36,252045.8281582282,370330.3016523672,330279.6343634105,445319.19842714537,0.4692974859313399,0.34830959010071894
case,Ensemble,37,150560.56573230354,154199.8650037821,191868,193124,0.02417166310300156,0.006546167156586735
case,Ensemble,38,16209.651881769416,18456.5227239581,23502.574907518283,26367.987870021025,0.13861314595631025,0.12191910774789694
case,Ensemble,39,153016.91272513964,152579.2541959493,208992.07788375858,286302.6546012631,-0.0028601970945296706,0.369921087441911
case,Ensemble,40,91811.14439005591,101239.02919408167,148166.87585230859,163726,0.10268780404230426,0.10501081336965368
case,Ensemble,41,49961.57170369441,50669.68472761463,92439.95062248356,136038.47920682625,0.01417315348123549,0.47164162562564704
case,Ensemble,42,104785.13562937989,106635.48520110594,180774.20270269993,217847.84869472985,0.017658511969394608,0.2050826137676347
case,Ensemble,44,11083.195412570814,13713,17508.15872464,19989.5,0.23727855456255886,0.1417248560734088
case,Ensemble,45,28873.835919915,36669.879110581824,50671.66289576085,58897.699252242805,0.270003722826786,0.1623399724103023
case,Ensemble,46,16416.180260623543,18154.667056839186,19578.72080330638,24109.911266734503,0.10590081057928202,0.23143444911185984
case,Ensemble,47,182901.17649597023,206959.1615523761,228986.96944912383,252959.87869427074,0.13153543086660213,0.1046911503428285
case,Ensemble,48,208670.37129499763,248726.98658604547,352500.56171858776,355390.0577707719,0.19196120197830924,0.00819713885872031
case,Ensemble,49,47090.02219923446,47832.78451928124,109003.13833138254,109857,0.015773242087340877,0.007833367751501008
case,Ensemble,50,7340.508594064988,7997.745691739394,22708.33396838262,25745.930491847015,0.08953563492941097,0.13376571472366572
case,Ensemble,51,98595.88723761193,94965.47237374727,215797.87814389355,293349.25576844683,-0.03682115923472051,0.3593704363156074
case,Ensemble,53,131202.2664967007,136715.76637486322,212130.60288416804,255256.09475550766,0.042022901169174176,0.20329689014690588
