round,target_end_date,proj_period_flag
1,1/9/21,1
1,1/16/21,1
1,1/23/21,1
1,1/30/21,1
2,1/30/21,1
1,2/6/21,1
2,2/6/21,1
1,2/13/21,1
2,2/13/21,1
1,2/20/21,1
2,2/20/21,1
1,2/27/21,1
2,2/27/21,1
1,3/6/21,1
2,3/6/21,1
1,3/13/21,1
2,3/13/21,1
3,3/13/21,1
1,3/20/21,1
2,3/20/21,1
3,3/20/21,1
1,3/27/21,1
2,3/27/21,1
3,3/27/21,1
1,4/3/21,1
2,4/3/21,1
3,4/3/21,1
4,4/3/21,1
1,4/10/21,1
2,4/10/21,1
3,4/10/21,1
4,4/10/21,1
1,4/17/21,1
2,4/17/21,1
3,4/17/21,1
4,4/17/21,1
1,4/24/21,1
2,4/24/21,1
3,4/24/21,1
4,4/24/21,1
1,5/1/21,1
2,5/1/21,1
3,5/1/21,1
4,5/1/21,1
1,5/8/21,1
2,5/8/21,1
3,5/8/21,1
4,5/8/21,1
5,5/8/21,1
1,5/15/21,1
2,5/15/21,1
3,5/15/21,1
4,5/15/21,1
5,5/15/21,1
1,5/22/21,1
2,5/22/21,1
3,5/22/21,1
4,5/22/21,1
5,5/22/21,1
1,5/29/21,1
2,5/29/21,1
3,5/29/21,1
4,5/29/21,1
5,5/29/21,1
1,6/5/21,1
2,6/5/21,1
3,6/5/21,1
4,6/5/21,1
5,6/5/21,1
6,6/5/21,1
1,6/12/21,1
2,6/12/21,1
3,6/12/21,1
4,6/12/21,1
5,6/12/21,1
6,6/12/21,1
1,6/19/21,1
2,6/19/21,1
3,6/19/21,1
4,6/19/21,1
5,6/19/21,1
6,6/19/21,1
1,6/26/21,1
2,6/26/21,1
3,6/26/21,1
4,6/26/21,1
5,6/26/21,1
6,6/26/21,1
1,7/3/21,1
2,7/3/21,1
3,7/3/21,1
4,7/3/21,1
5,7/3/21,1
6,7/3/21,1
2,7/10/21,1
3,7/10/21,1
4,7/10/21,1
5,7/10/21,1
6,7/10/21,1
7,7/10/21,1
2,7/17/21,1
3,7/17/21,1
4,7/17/21,1
5,7/17/21,1
6,7/17/21,1
7,7/17/21,1
2,7/24/21,1
3,7/24/21,1
4,7/24/21,1
5,7/24/21,1
6,7/24/21,1
7,7/24/21,1
3,7/31/21,1
4,7/31/21,1
5,7/31/21,1
6,7/31/21,1
7,7/31/21,1
3,8/7/21,1
4,8/7/21,1
5,8/7/21,1
6,8/7/21,1
7,8/7/21,1
3,8/14/21,1
4,8/14/21,1
5,8/14/21,1
6,8/14/21,1
7,8/14/21,1
3,8/21/21,1
4,8/21/21,1
5,8/21/21,1
6,8/21/21,1
7,8/21/21,1
3,8/28/21,1
4,8/28/21,1
5,8/28/21,1
6,8/28/21,1
7,8/28/21,1
3,9/4/21,1
4,9/4/21,1
5,9/4/21,1
6,9/4/21,1
7,9/4/21,1
4,9/11/21,1
5,9/11/21,1
6,9/11/21,1
7,9/11/21,1
4,9/18/21,1
5,9/18/21,1
6,9/18/21,1
7,9/18/21,1
9,9/18/21,1
4,9/25/21,1
5,9/25/21,1
6,9/25/21,1
7,9/25/21,1
9,9/25/21,1
5,10/2/21,1
6,10/2/21,1
7,10/2/21,1
9,10/2/21,1
5,10/9/21,1
6,10/9/21,1
7,10/9/21,1
9,10/9/21,1
5,10/16/21,1
6,10/16/21,1
7,10/16/21,1
9,10/16/21,1
5,10/23/21,1
6,10/23/21,1
7,10/23/21,1
9,10/23/21,1
5,10/30/21,1
6,10/30/21,1
7,10/30/21,1
9,10/30/21,1
6,11/6/21,1
7,11/6/21,1
9,11/6/21,1
6,11/13/21,1
7,11/13/21,1
9,11/13/21,1
6,11/20/21,1
7,11/20/21,1
9,11/20/21,1
6,11/27/21,1
7,11/27/21,1
9,11/27/21,1
7,12/4/21,1
9,12/4/21,1
7,12/11/21,1
9,12/11/21,1
7,12/18/21,1
9,12/18/21,1
11,12/25/21,1
7,12/25/21,1
9,12/25/21,1
11,1/1/22,1
7,1/1/22,1
9,1/1/22,1
11,1/8/22,1
9,1/8/22,1
11,1/15/22,1
12,1/15/22,1
9,1/15/22,1
11,1/22/22,1
12,1/22/22,1
9,1/22/22,1
11,1/29/22,1
12,1/29/22,1
9,1/29/22,1
11,2/5/22,1
12,2/5/22,1
9,2/5/22,1
11,2/12/22,1
12,2/12/22,1
9,2/12/22,1
11,2/19/22,1
