"","round","last_updated","frozen_date","due_date","data_cutoff","projection_start_date","projection_end_date","report_date","web_release_date","ensemble_published"
"1",1,2020-12-22,2020-12-22,2021-01-08,2021-01-02,2021-01-03,2021-07-03,2021-02-03,2021-02-17,2021-02-18
"2",2,2021-01-22,2021-01-22,2021-01-29,2021-01-23,2021-01-24,2021-07-24,2021-02-23,2021-02-17,2021-02-18
"3",3,2021-03-02,2021-03-05,2021-03-09,2021-03-06,2021-03-07,2021-09-04,2021-03-21,2021-03-26,2021-04-02
"4",4,2021-03-24,2021-03-28,2021-03-30,2021-03-27,2021-03-28,2021-09-25,2021-04-07,2021-04-16,2021-04-27
"5",5,2021-04-27,2021-05-02,2021-05-04,2021-05-01,2021-05-02,2021-10-30,2021-05-17,2021-05-20,2021-05-26
"6",6,2021-05-25,2021-06-08,2021-06-08,2021-05-29,2021-05-30,2021-11-27,2021-06-15,2021-06-17,2021-06-17
"7",7,2021-07-06,2021-07-13,2021-07-13,2021-07-03,2021-07-04,2022-01-01,2021-07-21,2021-07-21,2021-07-22
"8",8,2021-08-02,2021-08-17,2021-08-17,2021-08-14,2021-08-15,2022-02-12,2021-09-10,NA,NA
"9",9,2021-08-30,2021-09-14,2021-09-14,2021-09-11,2021-09-12,2022-03-12,2021-09-21,2021-09-22,2021-09-22
"10",10,2021-10-27,2021-11-09,2021-12-03,2021-11-20,2021-11-14,2022-11-12,2021-12-15,NA,2021-12-26
"11",11,2021-12-13,2021-12-21,2021-12-21,2021-12-18,2021-12-19,2022-03-12,2022-01-12,2022-01-03,2022-01-03
"12",12,2022-01-09,2022-01-09,2022-01-14,2022-01-08,2022-01-09,2022-04-02,2022-01-20,2022-01-20,2022-01-20
"13",13,2022-02-22,2022-02-25,2022-03-15,2022-03-12,2022-03-13,2023-03-11,2022-04-13,2022-04-13,2022-04-14
"14",14,2022-05-17,2022-05-09,2022-06-07,2022-06-04,2022-06-05,2023-06-03,2022-07-19,2022-07-20,2022-07-21
"15",15,2022-07-22,2022-07-19,2022-08-02,2022-07-30,2022-07-31,2023-05-06,NA,NA,NA
